Scraping 189 ASINs from Amazon...
128/189 B0DGLLDF9X: FAILED - undefined
129/189 B0DZB9R5YQ: FAILED - undefined
130/189 B0F2T7YVB9: FAILED - undefined
131/189 B0F43BBFSG: FAILED - undefined
132/189 B0F134WKDF: FAILED - undefined
133/189 B0FJM4PJJH: FAILED - undefined
134/189 B0FG2XNXCH: FAILED - undefined
135/189 B0DPJXPSDT: FAILED - undefined
136/189 B0FK5KMDHQ: FAILED - undefined
137/189 B0DZH7F4MC: FAILED - undefined
138/189 B0FSCFY2HV: FAILED - undefined
139/189 B0DZY3H4FR: FAILED - undefined
140/189 B0FKYCPBM1: FAILED - undefined
141/189 B0FCYTCYTG: FAILED - undefined
142/189 B0FJMBJCYK: FAILED - undefined
143/189 B0F1XPX2XL: FAILED - undefined
144/189 B0FKB5HPH7: FAILED - undefined
145/189 B0DT5YCDCJ: FAILED - undefined
146/189 B0F5LXXFFW: FAILED - undefined
147/189 B0DC61X555: FAILED - undefined
148/189 B0DK9612T5: FAILED - undefined
149/189 B0FJ21HLFK: FAILED - undefined
150/189 B0C7H8QDDM: FAILED - undefined

--- 150/189 done (0ok/150fail) 382s elapsed ---

151/189 B0FM3XSLYC: FAILED - undefined
152/189 B0FM6SLC7Q: FAILED - undefined
153/189 B0FJDK4XBG: FAILED - undefined
154/189 B0F1F84935: FAILED - undefined
155/189 B0FPLHTQTM: FAILED - undefined
156/189 B0DMSSVCJ8: FAILED - undefined
157/189 B0CSK9YQFF: FAILED - undefined
158/189 B0CZ4DM7XY: FAILED - undefined
159/189 B0F29LPT86: FAILED - undefined
160/189 B0FHD3DPTQ: FAILED - undefined
161/189 B0DT39PNL9: FAILED - undefined
162/189 B0FKM2BGJS: FAILED - undefined
163/189 B0DG5RN4N5: FAILED - undefined
164/189 B0DHP85G7K: FAILED - undefined
165/189 B0DT5Y5V3F: FAILED - undefined
166/189 B0DXVC8LYV: FAILED - undefined
167/189 B0F37SRBVG: FAILED - undefined
168/189 B0F9YZZJB5: FAILED - undefined
169/189 B0DSZMPSPH: FAILED - undefined
170/189 B0FJM63PMH: FAILED - undefined
171/189 B0FKB326T8: FAILED - undefined
172/189 B0F6NH15B6: FAILED - undefined
173/189 B0F8HS7CRZ: FAILED - undefined
174/189 B0FGXHMNBB: FAILED - undefined
175/189 B0FGXFJPGX: FAILED - undefined

--- 175/189 done (0ok/175fail) 443s elapsed ---

176/189 B0F6N45JS8: FAILED - undefined
177/189 B0DT6V3FYR: FAILED - undefined
178/189 B0FCR755TG: FAILED - undefined
179/189 B0FFGTRCPW: FAILED - undefined
180/189 B0DCF1SNYG: FAILED - undefined
181/189 B0DRY6HNRC: FAILED - undefined
182/189 B0FLXYF8Z3: FAILED - undefined
183/189 B0D9BL7FDP: FAILED - undefined
184/189 B0DXYJZW78: FAILED - undefined
185/189 B0FN723JTK: FAILED - undefined
186/189 B0F29K1473: FAILED - undefined
187/189 B0FPKPQV32: FAILED - undefined
188/189 B0DR33P47W: FAILED - undefined
189/189 B0D89YQ7CK: FAILED - undefined

=== Done in 480s: 0 prices found, 189 failed ===

Updated 0 competitor records in database.
